,ibu,style
0,62.0,IPA
1,15.0,Flavored - Other
2,12.0,Scottish Ale
3,16.0,Witbier / Belgian White Ale
4,50.0,Pale Ale - American / APA
5,10.0,Pale Lager - North Am. / Light
6,23.0,Red Ale / Intl Amber Ale
7,65.0,IPA
8,42.0,Porter
9,38.0,Porter
10,43.0,Pale Ale - American / APA
11,24.0,Flavored - Fruit
12,60.0,IPA
13,30.0,Saison / Farmhouse / Grisette
14,50.0,IPA - White
15,44.0,Stout
16,12.0,Weissbier - Hefeweizen
17,25.0,Stout - Imperial
18,42.0,ISA - Session IPA
19,70.0,IPA
20,25.0,IPA - Hazy / NEIPA
21,19.0,Flavored - Fruit
22,19.0,Blonde Ale / Golden Ale
23,19.0,Specialty Grain-Rye/Roggenbier
24,27.0,Brown Ale
25,22.0,Red Ale - Irish
26,64.0,IPA
27,27.0,Stout
28,19.0,Flavored - Fruit
29,19.0,Flavored - Fruit
30,51.0,Belgian Ale - Pale / Golden
31,120.0,IIPA - Imperial / Double IPA
32,51.0,Red Ale / Intl Amber Ale
33,57.0,IPA
34,60.0,Stout
35,19.0,Pale Ale - American / APA
36,38.0,Zwickelbier/Kellerbier/Landbier
37,42.0,Porter - Imperial
38,77.0,IPA
39,65.0,Pale Ale - American / APA
40,40.0,Saison / Farmhouse / Grisette
41,41.0,Stout - Dry
42,15.0,Witbier / Belgian White Ale
43,69.0,IPA
44,44.0,Pale Ale - American / APA
45,55.0,ISA - Session IPA
46,14.0,Blonde Ale / Golden Ale
47,38.0,Pale Ale - American / APA
48,24.0,Stout - Milk / Sweet
49,33.0,Red Ale / Intl Amber Ale
50,27.0,Stout - Milk / Sweet
51,72.0,IPA - Black/Brown/Cascadian Dark
52,90.0,Flavored - Other
53,21.0,Wheat Ale
54,50.0,IPA
55,45.0,Brown Ale
56,40.0,Pale Ale - American / APA
57,20.0,Altbier / Sticke Alt
58,30.0,Porter
59,74.0,IPA
60,22.0,Wheat Ale
61,7.0,Sour / Wild Beer
62,7.0,Sour / Wild Beer
63,42.0,IPA - Black/Brown/Cascadian Dark
64,19.0,Pale Lager - North Am. / Light
65,67.0,Stout - Imperial
66,65.0,IPA
67,78.0,IIPA - Imperial / Double IPA
68,7.0,Sour / Wild Beer
69,46.0,Porter
70,23.0,Belgian Ale - Strong Pale
71,26.0,Blonde Ale / Golden Ale
72,121.0,Stout - Imperial
73,72.0,Pilsener - Imperial
74,22.0,Brown Ale
75,60.0,IPA
76,15.0,Berliner Weisse
77,30.0,Pale Ale - American / APA
78,30.0,Pilsener / Pils / Pilsner
79,32.0,Red Ale / Intl Amber Ale
80,36.0,Brown Ale
81,17.0,Wheat Ale
82,30.0,IPA - Brut
83,54.0,Stout - Milk / Sweet
84,35.0,Saison / Farmhouse - Dark
85,18.0,Specialty Grain - Other
86,10.0,Sour / Wild Beer
87,35.0,Brown Ale
88,4.0,Sour / Wild Beer
89,22.0,Belgian Ale - Pale / Golden
90,81.0,IPA
91,64.0,IPA
92,18.0,Pale Lager - North Am. / Light
93,36.0,Pale Ale - American / APA
94,50.0,IPA
95,103.0,IIPA - Imperial / Double IPA
96,4.0,Sour / Wild Beer
97,56.0,IPA
98,35.0,Belgian Ale - Strong Dark
99,65.0,IPA
100,20.0,Blonde Ale / Golden Ale
101,38.0,Red Ale / Intl Amber Ale
102,18.0,Red Ale - Irish
103,25.0,Brown Ale
104,70.0,IPA
105,15.0,Cream Ale
106,15.0,Scottish Ale
107,24.0,Stout
108,25.0,Flavored - Other
109,30.0,Porter
110,23.0,Blonde Ale / Golden Ale
111,43.0,Specialty Grain - Other
112,35.0,Blonde Ale / Golden Ale
113,31.0,Porter
114,27.0,Flavored - Other
115,13.0,Weissbier - Hefeweizen
116,160.0,IIPA - Imperial / Double IPA
117,31.0,Porter
118,27.0,Flavored - Fruit
119,27.0,Bitter - Ordinary / Best
120,31.0,Porter
121,80.0,IPA
122,12.0,Wheat Ale
123,64.0,IPA
124,26.0,Pilsener / Pils / Pilsner
125,31.0,Stout - Milk / Sweet
126,24.0,Brown Ale
127,23.0,Red Ale - Irish
128,16.0,Pale Lager - Intl / Premium
129,19.0,Brown Ale
130,75.0,IPA
131,46.0,IIPA - Imperial / Double IPA
132,75.0,IPA
133,15.0,Wheat Ale
134,15.0,IPA - Hazy / NEIPA
135,22.0,Cream Ale
136,16.0,Blonde Ale / Golden Ale
137,9.0,Weissbier - Hefeweizen
138,122.0,IPA
139,122.0,IIPA - Imperial / Double IPA
140,32.0,Pilsener / Pils / Pilsner
141,22.0,Amber Lager - Intl / Vienna
142,23.0,Blonde Ale / Golden Ale
143,42.0,Stout
144,36.0,Bitter - Premium / Strong / ESB
145,21.0,Weissbier - Hefeweizen
146,22.0,Specialty Grain - Other
147,20.0,Belgian Ale - Pale / Golden
148,53.0,IPA
149,22.0,Red Ale - Irish
150,14.0,Weissbier - Dunkelweizen
151,60.0,Stout - Imperial
152,24.0,Blonde Ale / Golden Ale
153,14.0,Weissbier - Hefeweizen
154,60.0,IPA
155,55.0,IPA
156,26.0,Red Ale - Irish
157,55.0,Pilsener / Pils / Pilsner
158,40.0,Bock- Heller Bock / Maibock
159,43.0,Pale Ale - American / APA
160,25.0,Märzen / Oktoberfest Bier
161,32.0,Porter
162,40.0,IIPA - Imperial / Double IPA
163,30.0,Bock - Weizenbock
164,53.0,IPA
165,26.0,Tripel
166,80.0,IPA - Black/Brown/Cascadian Dark
167,22.0,Dubbel
168,20.0,Dubbel
170,10.0,Weissbier - Hefeweizen
171,22.0,Old Ale
172,74.0,Stout - Imperial
173,30.0,Stout - Milk / Sweet
174,48.0,IPA
175,70.0,IPA
176,26.0,Bock- Heller Bock / Maibock
177,25.0,Kölsch / Kölsch-Style
178,68.0,Old Ale
179,25.0,Porter
180,35.0,Red Ale / Intl Amber Ale
181,24.0,Kölsch / Kölsch-Style
182,30.0,Flavored - Fruit
183,42.0,Pale Ale
184,30.0,Flavored - Fruit
185,56.0,Tripel
186,65.0,IPA
187,32.0,Strong Ale - American
188,28.0,Flavored - Fruit
189,28.0,Sour / Wild Beer - Flavored
190,32.0,Porter
191,70.0,IPA - Rye
192,35.0,Pale Lager - India / Hoppy
193,45.0,IIPA - Imperial / Double IPA
194,40.0,Pale Ale - American / APA
195,25.0,Blonde Ale / Golden Ale
196,25.0,Sour / Wild Beer
197,31.0,Belgian Ale - Pale / Golden
198,35.0,Stout - Imperial
199,42.0,Brown Ale
200,25.0,IPA - Sour / Wild
201,7.0,Berliner Weisse
202,7.0,Berliner Weisse
203,17.0,Stout - Milk / Sweet
204,50.0,IIPA - Imperial / Double IPA
205,55.0,Old Ale
206,61.0,IPA
207,58.0,Stout - Imperial
208,50.0,Stout - Imperial
209,7.0,Berliner Weisse
210,10.0,Gose
211,25.0,IPA - Hazy / NEIPA
212,41.0,Brown Ale
213,7.0,Berliner Weisse - Flavored
214,24.0,Bock - Dunkler Bock
215,14.0,Mild Ale
216,30.0,Saison / Farmhouse / Grisette
217,36.0,Bitter - Premium / Strong / ESB
218,100.0,IIPA - Imperial / Double IPA
219,2.0,Gose
220,70.0,Tripel
221,75.0,IPA
222,65.0,IPA
223,47.0,Stout - Extra / Foreign
224,60.0,ISA - Session IPA
225,83.0,IPA - Black/Brown/Cascadian Dark
226,175.0,IIPA - Imperial / Double IPA
227,15.0,Pale Lager - North Am. / Light
228,57.0,IPA
229,67.0,IPA
230,60.0,IPA
231,85.0,IIPA - Imperial / Double IPA
232,24.0,Quadrupel / Abt
233,31.0,Belgian Ale - Pale / Golden
234,10.0,Witbier / Belgian White Ale
235,50.0,IPA
236,24.0,Amber Lager - Intl / Vienna
237,19.0,Blonde Ale / Golden Ale
238,21.0,Porter
239,28.0,Red Ale / Intl Amber Ale
